CostResourceID	CostResourceTag	Produkt
#11912116	CPO	elasticsearch
#10486498	CPO	senec-powersocket
#14659123	CPO	elasticsearch
#24258567	CPO	senec-monitoring-service
#7277926	Reklamation	resys
#11927877	CPO	senec-components-haproxy
#19328884	CPO	influxdb
#20748463	IT-OPS	vm-cert-legacy-test
#12072914	IT-OPS	ops-test-pc-web
#17504310	IT-OPS	sso-test
#20593675	IT-OPS	base-test
#3481017	CPO	fieldanalyzer
#20232032	CPO	kafka
#25023201	IT-OPS	grafana
#10115328	CPO	senec-backend
#11912114	CPO	elasticsearch
#24757808	CPO	senec-api-service
#19816749	IT-OPS	icinga
#14631500	CPO	app-gateway
#462799	CPO	lb-proxysql
#2061306	CPO	kafka
#12229873	CPO	senec-ems-controller
#19328882	CPO	influx
#2807075	CPO	influx
#20369218	CPO	gitlab-runner1
#2061305	CPO	kafka
#17556052	IT-OPS	sso-test
#12072913	IT-OPS	ops-test-pc-web
#2503553	CPO	mysenec
#7104632	CPO	senec-api
#24258568	CPO	senec-powersocket
#301773	CPO	senec-components-haproxy
#14038210	CPO	consul
#9411752	CPO	redis
#20748464	IT-OPS	vm-cert-test
#25812834	IT-OPS	testvm
#3023611	CPO	influx
#316981	CPO	haproxy
#23860769	CPO	senec-ci-pg-base-test
#3375703	Energiemarkt	billing-engine
#9423466	CPO	redis
#12443700	IT-OPS	kibana
#18779184	CPO	influx
#9735618	CPO	vpnc
#19430915	CPO	influx
#18823206	IT-OPS	rundeck
#24258564	CPO	senec-filetask-service
#2770611	CPO	influx
#2770603	CPO	influx
#18779183	CPO	influx
#14631542	CPO	app-gateway
#14659126	CPO	elasticsearch
#16609974	CPO	senec-sg-ready-service
#19814316	CPO	gitlab-k8s
#19667366	CPO	influx
#20338821	IT-OPS	vault
#19665183	CPO	influx
#2164922	Integration	zato
#16985995	IT-OPS	vault
#10510583	CPO	senec-monitoring
#25497127	IT-OPS	clicked-routing-test
#19866112	IT-OPS	ci-test
#14372800	CPO	senec-ems-measurement-service
#19430913	CPO	influx
#12327140	CPO	senec-filetask
#19665186	CPO	influx
#18605848	CPO	backup-storage
#11927873	CPO	senec-components-haproxy
#14038209	IT-OPS	consul
#2777687	CPO	influx
#19666920	CPO	influx
#19665185	CPO	influx
#19328883	CPO	influx
#18840898	IT-OPS	footest
#17815339	Marketing	drupal
#13747581	CPO	db
#17558264	IT-OPS	netbox
#17553345	IT-OPS	cgroup-test
#14179534	IT-OPS	vpngateway
#2061304	CPO	kafka
#19788751	CPO	senec-powerunit-service
#17652275	IT-OPS	prometheus
#25734432	IT-OPS	testvm
#12072911	IT-OPS	ops-test-pc-web
#12072912	IT-OPS	ops-test-pc-lb
#9984205	CPO	senec-backend
#13747580	CPO	db
#3473085	CPO	senec-simulator
#11467687	Energiemarkt	sftp
#9961275	CPO	dev-env
#14038211	IT-OPS	consul
#21943484	IT-OPS	bitwarden
#24258569	CPO	senec-wallbox
#11632935	CPO	logstash
#11912115	CPO	elasticsearch
#23683273	CPO	senec-network-service
#13154838	IT-OPS	ops-1369
#18570726	IT-OPS	vault
#24258566	IT-OPS	opnsense
#18605835	CPO	backup-storage
#19814315	CPO	gitlab-k8s-runner1
#7727344	CPO	haproxy
#12179093	CPO	senec-wallbox
#9423467	CPO	redis
#19328886	CPO	influx
#20204043	CPO	kafka
#11719554	CPO	senec-monitoring
#16662685	CPO	senec-sg-ready-service
#24210489	Marketing	drupal
#24251873	CPO	senec-filetask-service
#11697810	CPO	senec-powersocket
#12044423	CPO	fieldanalyzer
#293324	CPO	senec-components-haproxy
#9411753	CPO	redis
#2523457	CPO	kafka
#18779161	CPO	influx
#12878712	CPO	senec-wallbox
#20204041	CPO	kafka
#20204042	CPO	kafka
#18268791	IT-OPS	thanos-querier
#17652278	IT-OPS	prometheus
#1368230	CPO	mysenec
#6322758	CPO	influx
#9411754	CPO	redis
#19328887	CPO	influx
#316972	CPO	senec-backend-haproxy
#19665321	CPO	influx
#11714938	CPO	influx
#19665322	CPO	influx
#23683256	CPO	senec
#19665323	CPO	influx
#20369212	CPO	gitlab-runner1
#2523458	CPO	kafka
#19430878	CPO	influx
#15665955	CPO	senec-bms-service
#12238706	CPO	db
#507026	CPO	lb-proxysql
#4185895	Energiemarkt	billing-engine
#11714934	CPO	influx
#19788262	CPO	senec-powerunit-service
#12238704	CPO	db
#6322757	CPO	influx
#14846970	CPO	senec-ems-measurement-service
#14375065	IT-OPS	opnsense
#19328889	CPO	influxdb
#12238705	CPO	db
#11268194	CPO	konfigurationsassistent
#12238755	CPO	proxysql
#13660918	CPO	senec-filetask
#19430880	CPO	influx
#24251605	CPO	senec-wallbox
#11716506	CPO	haproxy
#1790763	Marketing	senec-wordpress
#19665320	CPO	influx
#16987831	IT-OPS	vault
#19665319	CPO	influx
#11954052	CPO	internal-monitoring
#18268792	IT-OPS	prometheus
#11786047	CPO	senec-components-haproxy
#24757695	CPO	senec-api-service
#12238754	CPO	proxysql
#14138505	IT-OPS	vpngateway
#11701391	CPO	senec-backend
#11714940	CPO	influx
#7035969	CPO	senec-api
#2770599	CPO	pip
#19665324	CPO	influx
#21846979	Marketing	drupal
#24857128	CPO	senec-internal-monitoring-service
#9552913	CPO	senec-backend
#24251604	CPO	senec-monitoring-service
#11786045	CPO	senec-components-haproxy
#2644369	CPO	influx
#18779162	CPO	influx
#24251872	CPO	senec-powersocket-service
#19815534	IT-OPS	icinga
#2523455	CPO	kafka
#5513180	Energiemarkt	printing-engine
#19328888	CPO	influx
